topology,workload,routing_mode,offered_volume_gb,link_count,link_ratio_pct
2D-FullMesh,A2A,SHORTEST_PATH,0.24,216,30.681818181818183
2D-FullMesh,A2A,SHORTEST_PATH,0.244,2,0.2840909090909091
2D-FullMesh,A2A,SHORTEST_PATH,0.248,18,2.556818181818182
2D-FullMesh,A2A,SHORTEST_PATH,0.252,20,2.840909090909091
2D-FullMesh,A2A,SHORTEST_PATH,0.256,20,2.840909090909091
2D-FullMesh,A2A,SHORTEST_PATH,0.26,18,2.556818181818182
2D-FullMesh,A2A,SHORTEST_PATH,0.264,2,0.2840909090909091
2D-FullMesh,A2A,SHORTEST_PATH,0.268,216,30.681818181818183
2D-FullMesh,A2A,SHORTEST_PATH,0.512,192,27.27272727272727
2D-FullMesh,Sparse 1-to-N,SHORTEST_PATH,0.001,46,14.983713355048861
2D-FullMesh,Sparse 1-to-N,SHORTEST_PATH,0.002,104,33.876221498371336
2D-FullMesh,Sparse 1-to-N,SHORTEST_PATH,0.003,34,11.074918566775244
2D-FullMesh,Sparse 1-to-N,SHORTEST_PATH,0.004,90,29.31596091205212
2D-FullMesh,Sparse 1-to-N,SHORTEST_PATH,0.005,16,5.211726384364821
2D-FullMesh,Sparse 1-to-N,SHORTEST_PATH,0.006,12,3.908794788273615
2D-FullMesh,Sparse 1-to-N,SHORTEST_PATH,0.007,4,1.3029315960912053
2D-FullMesh,Sparse 1-to-N,SHORTEST_PATH,0.008,1,0.32573289902280134
2D-Torus,A2A,SHORTEST_PATH,0.112,104,34.21052631578947
2D-Torus,A2A,SHORTEST_PATH,0.116,2,0.6578947368421052
2D-Torus,A2A,SHORTEST_PATH,0.12,12,3.9473684210526314
2D-Torus,A2A,SHORTEST_PATH,0.124,10,3.289473684210526
2D-Torus,A2A,SHORTEST_PATH,0.128,10,3.289473684210526
2D-Torus,A2A,SHORTEST_PATH,0.132,12,3.9473684210526314
2D-Torus,A2A,SHORTEST_PATH,0.136,2,0.6578947368421052
2D-Torus,A2A,SHORTEST_PATH,0.14,104,34.21052631578947
2D-Torus,A2A,SHORTEST_PATH,0.512,48,15.789473684210526
2D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.0003,2,1.5037593984962405
2D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.0013,6,4.511278195488721
2D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.0017,4,3.007518796992481
2D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.002,47,35.338345864661655
2D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.0023,2,1.5037593984962405
2D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.003,2,1.5037593984962405
2D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.0033,2,1.5037593984962405
2D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.0037,2,1.5037593984962405
2D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.004,43,32.33082706766917
2D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.0043,2,1.5037593984962405
2D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.0047,6,4.511278195488721
2D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.005,4,3.007518796992481
2D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.0057,4,3.007518796992481
2D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.006,3,2.2556390977443606
2D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.007,2,1.5037593984962405
2D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.0073,2,1.5037593984962405
3D-Torus,A2A,SHORTEST_PATH,0.496,402,29.910714285714285
3D-Torus,A2A,SHORTEST_PATH,0.5,24,1.7857142857142856
3D-Torus,A2A,SHORTEST_PATH,0.504,48,3.571428571428571
3D-Torus,A2A,SHORTEST_PATH,0.508,38,2.8273809523809526
3D-Torus,A2A,SHORTEST_PATH,0.512,38,2.8273809523809526
3D-Torus,A2A,SHORTEST_PATH,0.516,48,3.571428571428571
3D-Torus,A2A,SHORTEST_PATH,0.52,24,1.7857142857142856
3D-Torus,A2A,SHORTEST_PATH,0.524,402,29.910714285714285
3D-Torus,A2A,SHORTEST_PATH,2.048,320,23.809523809523807
3D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.0009,2,0.30959752321981426
3D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.0011,2,0.30959752321981426
3D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.0012,2,0.30959752321981426
3D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.0013,4,0.6191950464396285
3D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.0014,2,0.30959752321981426
3D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.0015,2,0.30959752321981426
3D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.0017,2,0.30959752321981426
3D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.0018,2,0.30959752321981426
3D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.002,156,24.148606811145513
3D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.0021,2,0.30959752321981426
3D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.0022,12,1.8575851393188854
3D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.0023,6,0.9287925696594427
3D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.0024,2,0.30959752321981426
3D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.0025,6,0.9287925696594427
3D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.0026,2,0.30959752321981426
3D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.0027,14,2.1671826625387
3D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.0028,4,0.6191950464396285
3D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.0029,6,0.9287925696594427
3D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.003,6,0.9287925696594427
3D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.0031,10,1.5479876160990713
3D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.0032,6,0.9287925696594427
3D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.0033,16,2.476780185758514
3D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.0034,6,0.9287925696594427
3D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.0035,8,1.238390092879257
3D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.0036,4,0.6191950464396285
3D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.0037,6,0.9287925696594427
3D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.0038,2,0.30959752321981426
3D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.0039,4,0.6191950464396285
3D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.004,170,26.31578947368421
3D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.0041,4,0.6191950464396285
3D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.0042,2,0.30959752321981426
3D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.0043,14,2.1671826625387
3D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.0044,14,2.1671826625387
3D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.0045,6,0.9287925696594427
3D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.0046,6,0.9287925696594427
3D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.0047,22,3.4055727554179565
3D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.0048,4,0.6191950464396285
3D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.0049,10,1.5479876160990713
3D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.005,2,0.30959752321981426
3D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.0051,4,0.6191950464396285
3D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.0052,10,1.5479876160990713
3D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.0053,2,0.30959752321981426
