topology,workload,routing_mode,hop_count,offered_volume_gb,offered_volume_pct
Clos,A2A,ECMP,2,4.032,4.895104895104895
Clos,A2A,ECMP,4,78.336,95.1048951048951
Clos,Sparse 1-to-N,ECMP,2,0.012,4.166666666666666
Clos,Sparse 1-to-N,ECMP,4,0.276,95.83333333333334
Clos-64,A2A,ECMP,2,1.792,11.11111111111111
Clos-64,A2A,ECMP,4,14.336,88.88888888888889
Clos-64,Sparse 1-to-N,ECMP,2,0.004,3.125
Clos-64,Sparse 1-to-N,ECMP,4,0.124,96.875
Clos-128,A2A,ECMP,2,3.584,5.511811023622047
Clos-128,A2A,ECMP,4,61.44,94.48818897637796
Clos-128,Sparse 1-to-N,ECMP,2,0.02,7.8125
Clos-128,Sparse 1-to-N,ECMP,4,0.236,92.1875
Clos-192,A2A,ECMP,2,5.376,3.664921465968586
Clos-192,A2A,ECMP,4,141.312,96.33507853403141
Clos-192,Sparse 1-to-N,ECMP,4,0.384,100.0
Clos-256,A2A,ECMP,2,7.168,2.7450980392156863
Clos-256,A2A,ECMP,4,253.952,97.25490196078431
Clos-256,Sparse 1-to-N,ECMP,2,0.004,0.78125
Clos-256,Sparse 1-to-N,ECMP,4,0.508,99.21875
Clos-4P-FullMesh,A2A,ECMP,2,28.672,0.6842619745845552
Clos-4P-FullMesh,A2A,ECMP,3,98.304,2.346041055718475
Clos-4P-FullMesh,A2A,ECMP,4,4063.232,96.96969696969697
Clos-4P-FullMesh,Sparse 1-to-N,ECMP,2,0.008,0.390625
Clos-4P-FullMesh,Sparse 1-to-N,ECMP,3,0.032,1.5625
Clos-4P-FullMesh,Sparse 1-to-N,ECMP,4,2.008,98.046875
