topology,workload,routing_mode,hop_count,offered_volume_gb,offered_volume_pct
2D-FullMesh,A2A,SHORTEST_PATH,2,3.584,5.511811023622047
2D-FullMesh,A2A,SHORTEST_PATH,3,24.576,37.79527559055118
2D-FullMesh,A2A,SHORTEST_PATH,4,36.864,56.69291338582677
2D-FullMesh,Sparse 1-to-N,SHORTEST_PATH,2,0.02,7.8125
2D-FullMesh,Sparse 1-to-N,SHORTEST_PATH,3,0.08,31.25
2D-FullMesh,Sparse 1-to-N,SHORTEST_PATH,4,0.156,60.9375
2D-Torus,A2A,SHORTEST_PATH,2,3.584,5.511811023622047
2D-Torus,A2A,SHORTEST_PATH,3,16.384,25.196850393700785
2D-Torus,A2A,SHORTEST_PATH,4,24.576,37.79527559055118
2D-Torus,A2A,SHORTEST_PATH,5,16.38400000001159,25.196850393718613
2D-Torus,A2A,SHORTEST_PATH,6,4.096000000002897,6.299212598429653
2D-Torus,Sparse 1-to-N,SHORTEST_PATH,2,0.02,7.8125
2D-Torus,Sparse 1-to-N,SHORTEST_PATH,3,0.048,18.75
2D-Torus,Sparse 1-to-N,SHORTEST_PATH,4,0.088,34.375
2D-Torus,Sparse 1-to-N,SHORTEST_PATH,5,0.09199999999999983,35.937499999999936
2D-Torus,Sparse 1-to-N,SHORTEST_PATH,6,0.007999999999999988,3.1249999999999956
3D-Torus,A2A,SHORTEST_PATH,2,7.168,2.7450980392156863
3D-Torus,A2A,SHORTEST_PATH,3,40.96,15.686274509803921
3D-Torus,A2A,SHORTEST_PATH,4,81.92,31.372549019607842
3D-Torus,A2A,SHORTEST_PATH,5,81.92,31.372549019607842
3D-Torus,A2A,SHORTEST_PATH,6,40.96000000000001,15.686274509803924
3D-Torus,A2A,SHORTEST_PATH,7,8.191999999999998,3.1372549019607843
3D-Torus,Sparse 1-to-N,SHORTEST_PATH,2,0.004,0.78125
3D-Torus,Sparse 1-to-N,SHORTEST_PATH,3,0.068,13.28125
3D-Torus,Sparse 1-to-N,SHORTEST_PATH,4,0.168,32.8125
3D-Torus,Sparse 1-to-N,SHORTEST_PATH,5,0.168,32.8125
3D-Torus,Sparse 1-to-N,SHORTEST_PATH,6,0.08800000000000004,17.187500000000007
3D-Torus,Sparse 1-to-N,SHORTEST_PATH,7,0.015999999999999962,3.124999999999993
Clos,A2A,ECMP,2,4.032,4.895104895104895
Clos,A2A,ECMP,4,78.336,95.1048951048951
Clos,Sparse 1-to-N,ECMP,2,0.012,4.166666666666666
Clos,Sparse 1-to-N,ECMP,4,0.276,95.83333333333334
DF,A2A,SHORTEST_PATH,2,11.648,1.6867469879518073
DF,A2A,SHORTEST_PATH,3,79.872,11.566265060240964
DF,A2A,SHORTEST_PATH,4,239.616,34.69879518072289
DF,A2A,SHORTEST_PATH,5,359.424,52.04819277108433
DF,Sparse 1-to-N,SHORTEST_PATH,2,0.004,0.4807692307692308
DF,Sparse 1-to-N,SHORTEST_PATH,3,0.076,9.134615384615383
DF,Sparse 1-to-N,SHORTEST_PATH,4,0.308,37.019230769230774
DF,Sparse 1-to-N,SHORTEST_PATH,5,0.444,53.36538461538461
