topology,workload,routing_mode,offered_volume_gb,link_count,link_ratio_pct
2D-FullMesh,A2A,SHORTEST_PATH,0.24,225,31.96022727272727
2D-FullMesh,A2A,SHORTEST_PATH,0.244,9,1.278409090909091
2D-FullMesh,A2A,SHORTEST_PATH,0.248,12,1.7045454545454544
2D-FullMesh,A2A,SHORTEST_PATH,0.252,10,1.4204545454545454
2D-FullMesh,A2A,SHORTEST_PATH,0.256,10,1.4204545454545454
2D-FullMesh,A2A,SHORTEST_PATH,0.26,12,1.7045454545454544
2D-FullMesh,A2A,SHORTEST_PATH,0.264,9,1.278409090909091
2D-FullMesh,A2A,SHORTEST_PATH,0.268,225,31.96022727272727
2D-FullMesh,A2A,SHORTEST_PATH,0.512,192,27.27272727272727
2D-FullMesh,Sparse 1-to-N,SHORTEST_PATH,0.001,46,14.983713355048861
2D-FullMesh,Sparse 1-to-N,SHORTEST_PATH,0.002,104,33.876221498371336
2D-FullMesh,Sparse 1-to-N,SHORTEST_PATH,0.003,34,11.074918566775244
2D-FullMesh,Sparse 1-to-N,SHORTEST_PATH,0.004,90,29.31596091205212
2D-FullMesh,Sparse 1-to-N,SHORTEST_PATH,0.005,16,5.211726384364821
2D-FullMesh,Sparse 1-to-N,SHORTEST_PATH,0.006,12,3.908794788273615
2D-FullMesh,Sparse 1-to-N,SHORTEST_PATH,0.007,4,1.3029315960912053
2D-FullMesh,Sparse 1-to-N,SHORTEST_PATH,0.008,1,0.32573289902280134
2D-Torus,A2A,SHORTEST_PATH,0.24,225,35.15625
2D-Torus,A2A,SHORTEST_PATH,0.244,9,1.40625
2D-Torus,A2A,SHORTEST_PATH,0.248,12,1.875
2D-Torus,A2A,SHORTEST_PATH,0.252,10,1.5625
2D-Torus,A2A,SHORTEST_PATH,0.256,10,1.5625
2D-Torus,A2A,SHORTEST_PATH,0.26,12,1.875
2D-Torus,A2A,SHORTEST_PATH,0.264,9,1.40625
2D-Torus,A2A,SHORTEST_PATH,0.268,225,35.15625
2D-Torus,A2A,SHORTEST_PATH,1.024,128,20.0
2D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.001,2,0.7067137809187279
2D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.0012,2,0.7067137809187279
2D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.0013,8,2.8268551236749118
2D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.0015,2,0.7067137809187279
2D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.0017,2,0.7067137809187279
2D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.002,78,27.56183745583039
2D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.0023,4,1.4134275618374559
2D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.0025,4,1.4134275618374559
2D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.0027,4,1.4134275618374559
2D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.0028,2,0.7067137809187279
2D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.003,2,0.7067137809187279
2D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.0033,12,4.240282685512367
2D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.0035,2,0.7067137809187279
2D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.0037,4,1.4134275618374559
2D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.004,82,28.975265017667844
2D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.0043,8,2.8268551236749118
2D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.0045,4,1.4134275618374559
2D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.0047,6,2.1201413427561837
2D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.0048,4,1.4134275618374559
2D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.005,6,2.1201413427561837
2D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.0052,2,0.7067137809187279
2D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.0053,2,0.7067137809187279
2D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.0055,4,1.4134275618374559
2D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.0057,2,0.7067137809187279
2D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.006,10,3.53356890459364
2D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.0062,2,0.7067137809187279
2D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.0063,4,1.4134275618374559
2D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.0067,4,1.4134275618374559
2D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.0068,2,0.7067137809187279
2D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.0077,4,1.4134275618374559
2D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.008,1,0.35335689045936397
2D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.0082,2,0.7067137809187279
2D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.009,2,0.7067137809187279
2D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.0097,2,0.7067137809187279
2D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.0103,2,0.7067137809187279
3D-Torus,A2A,SHORTEST_PATH,0.496,425,31.622023809523807
3D-Torus,A2A,SHORTEST_PATH,0.5,15,1.1160714285714286
3D-Torus,A2A,SHORTEST_PATH,0.504,39,2.9017857142857144
3D-Torus,A2A,SHORTEST_PATH,0.508,33,2.455357142857143
3D-Torus,A2A,SHORTEST_PATH,0.512,33,2.455357142857143
3D-Torus,A2A,SHORTEST_PATH,0.516,39,2.9017857142857144
3D-Torus,A2A,SHORTEST_PATH,0.52,15,1.1160714285714286
3D-Torus,A2A,SHORTEST_PATH,0.524,425,31.622023809523807
3D-Torus,A2A,SHORTEST_PATH,2.048,320,23.809523809523807
3D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.0009,2,0.30959752321981426
3D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.0011,2,0.30959752321981426
3D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.0012,2,0.30959752321981426
3D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.0013,4,0.6191950464396285
3D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.0014,2,0.30959752321981426
3D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.0015,2,0.30959752321981426
3D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.0017,2,0.30959752321981426
3D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.0018,2,0.30959752321981426
3D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.002,156,24.148606811145513
3D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.0021,2,0.30959752321981426
3D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.0022,12,1.8575851393188854
3D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.0023,6,0.9287925696594427
3D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.0024,2,0.30959752321981426
3D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.0025,6,0.9287925696594427
3D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.0026,2,0.30959752321981426
3D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.0027,14,2.1671826625387
3D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.0028,4,0.6191950464396285
3D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.0029,6,0.9287925696594427
3D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.003,6,0.9287925696594427
3D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.0031,10,1.5479876160990713
3D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.0032,6,0.9287925696594427
3D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.0033,16,2.476780185758514
3D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.0034,6,0.9287925696594427
3D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.0035,8,1.238390092879257
