topology,workload,routing_mode,hop_count,offered_volume_gb,offered_volume_pct
2D-FullMesh,A2A,SHORTEST_PATH,2,3.584,5.511811023622047
2D-FullMesh,A2A,SHORTEST_PATH,3,24.576,37.79527559055118
2D-FullMesh,A2A,SHORTEST_PATH,4,36.864,56.69291338582677
2D-FullMesh,Sparse 1-to-N,SHORTEST_PATH,2,0.02,7.8125
2D-FullMesh,Sparse 1-to-N,SHORTEST_PATH,3,0.08,31.25
2D-FullMesh,Sparse 1-to-N,SHORTEST_PATH,4,0.156,60.9375
2D-Torus,A2A,SHORTEST_PATH,2,3.584,5.511811023622047
2D-Torus,A2A,SHORTEST_PATH,3,16.384,25.196850393700785
2D-Torus,A2A,SHORTEST_PATH,4,24.576,37.79527559055118
2D-Torus,A2A,SHORTEST_PATH,5,16.384,25.196850393700785
2D-Torus,A2A,SHORTEST_PATH,6,4.096,6.299212598425196
2D-Torus,Sparse 1-to-N,SHORTEST_PATH,2,0.02,7.8125
2D-Torus,Sparse 1-to-N,SHORTEST_PATH,3,0.048,18.75
2D-Torus,Sparse 1-to-N,SHORTEST_PATH,4,0.088,34.375
2D-Torus,Sparse 1-to-N,SHORTEST_PATH,5,0.092,35.9375
2D-Torus,Sparse 1-to-N,SHORTEST_PATH,6,0.008,3.125
3D-Torus,A2A,SHORTEST_PATH,2,14.336,1.36986301369863
3D-Torus,A2A,SHORTEST_PATH,3,98.304,9.393346379647749
3D-Torus,A2A,SHORTEST_PATH,4,245.76,23.483365949119374
3D-Torus,A2A,SHORTEST_PATH,5,327.68,31.31115459882583
3D-Torus,A2A,SHORTEST_PATH,6,245.76,23.483365949119374
3D-Torus,A2A,SHORTEST_PATH,7,98.304,9.393346379647749
3D-Torus,A2A,SHORTEST_PATH,8,16.384,1.5655577299412915
3D-Torus,Sparse 1-to-N,SHORTEST_PATH,2,0.032,3.125
3D-Torus,Sparse 1-to-N,SHORTEST_PATH,3,0.104,10.15625
3D-Torus,Sparse 1-to-N,SHORTEST_PATH,4,0.228,22.265625
3D-Torus,Sparse 1-to-N,SHORTEST_PATH,5,0.344,33.59375
3D-Torus,Sparse 1-to-N,SHORTEST_PATH,6,0.196,19.140625
3D-Torus,Sparse 1-to-N,SHORTEST_PATH,7,0.108,10.546875
3D-Torus,Sparse 1-to-N,SHORTEST_PATH,8,0.012,1.171875
Clos,A2A,ECMP,2,4.032,4.895104895104895
Clos,A2A,ECMP,4,78.336,95.1048951048951
Clos,Sparse 1-to-N,ECMP,2,0.012,4.166666666666666
Clos,Sparse 1-to-N,ECMP,4,0.276,95.83333333333334
DF,A2A,SHORTEST_PATH,2,5.824,3.3816425120772946
DF,A2A,SHORTEST_PATH,3,46.592,27.053140096618357
DF,A2A,SHORTEST_PATH,4,79.872,46.3768115942029
DF,A2A,SHORTEST_PATH,5,39.936,23.18840579710145
DF,Sparse 1-to-N,SHORTEST_PATH,2,0.008,1.9230769230769231
DF,Sparse 1-to-N,SHORTEST_PATH,3,0.164,39.42307692307692
DF,Sparse 1-to-N,SHORTEST_PATH,4,0.176,42.30769230769231
DF,Sparse 1-to-N,SHORTEST_PATH,5,0.068,16.346153846153847
