topology,workload,routing_mode,offered_volume_gb,link_count,link_ratio_pct
2D-FullMesh,A2A,SHORTEST_PATH,0.24,210,29.829545454545453
2D-FullMesh,A2A,SHORTEST_PATH,0.244,18,2.556818181818182
2D-FullMesh,A2A,SHORTEST_PATH,0.248,12,1.7045454545454544
2D-FullMesh,A2A,SHORTEST_PATH,0.252,16,2.272727272727273
2D-FullMesh,A2A,SHORTEST_PATH,0.256,16,2.272727272727273
2D-FullMesh,A2A,SHORTEST_PATH,0.26,12,1.7045454545454544
2D-FullMesh,A2A,SHORTEST_PATH,0.264,18,2.556818181818182
2D-FullMesh,A2A,SHORTEST_PATH,0.268,210,29.829545454545453
2D-FullMesh,A2A,SHORTEST_PATH,0.512,192,27.27272727272727
2D-FullMesh,Sparse 1-to-N,SHORTEST_PATH,0.001,46,14.983713355048861
2D-FullMesh,Sparse 1-to-N,SHORTEST_PATH,0.002,104,33.876221498371336
2D-FullMesh,Sparse 1-to-N,SHORTEST_PATH,0.003,34,11.074918566775244
2D-FullMesh,Sparse 1-to-N,SHORTEST_PATH,0.004,90,29.31596091205212
2D-FullMesh,Sparse 1-to-N,SHORTEST_PATH,0.005,16,5.211726384364821
2D-FullMesh,Sparse 1-to-N,SHORTEST_PATH,0.006,12,3.908794788273615
2D-FullMesh,Sparse 1-to-N,SHORTEST_PATH,0.007,4,1.3029315960912053
2D-FullMesh,Sparse 1-to-N,SHORTEST_PATH,0.008,1,0.32573289902280134
2D-Torus,A2A,SHORTEST_PATH,0.24,210,32.8125
2D-Torus,A2A,SHORTEST_PATH,0.244,18,2.8125
2D-Torus,A2A,SHORTEST_PATH,0.248,12,1.875
2D-Torus,A2A,SHORTEST_PATH,0.252,16,2.5
2D-Torus,A2A,SHORTEST_PATH,0.256,16,2.5
2D-Torus,A2A,SHORTEST_PATH,0.26,12,1.875
2D-Torus,A2A,SHORTEST_PATH,0.264,18,2.8125
2D-Torus,A2A,SHORTEST_PATH,0.268,210,32.8125
