topology,workload,routing_mode,offered_volume_gb,link_count,link_ratio_pct
2D-FullMesh,A2A,SHORTEST_PATH,0.24,225,31.96022727272727
2D-FullMesh,A2A,SHORTEST_PATH,0.244,9,1.278409090909091
2D-FullMesh,A2A,SHORTEST_PATH,0.248,12,1.7045454545454544
2D-FullMesh,A2A,SHORTEST_PATH,0.252,10,1.4204545454545454
2D-FullMesh,A2A,SHORTEST_PATH,0.256,10,1.4204545454545454
2D-FullMesh,A2A,SHORTEST_PATH,0.26,12,1.7045454545454544
2D-FullMesh,A2A,SHORTEST_PATH,0.264,9,1.278409090909091
2D-FullMesh,A2A,SHORTEST_PATH,0.268,225,31.96022727272727
2D-FullMesh,A2A,SHORTEST_PATH,0.512,192,27.27272727272727
2D-FullMesh,Sparse 1-to-N,SHORTEST_PATH,0.001,46,14.983713355048861
2D-FullMesh,Sparse 1-to-N,SHORTEST_PATH,0.002,104,33.876221498371336
2D-FullMesh,Sparse 1-to-N,SHORTEST_PATH,0.003,34,11.074918566775244
2D-FullMesh,Sparse 1-to-N,SHORTEST_PATH,0.004,90,29.31596091205212
2D-FullMesh,Sparse 1-to-N,SHORTEST_PATH,0.005,16,5.211726384364821
2D-FullMesh,Sparse 1-to-N,SHORTEST_PATH,0.006,12,3.908794788273615
2D-FullMesh,Sparse 1-to-N,SHORTEST_PATH,0.007,4,1.3029315960912053
2D-FullMesh,Sparse 1-to-N,SHORTEST_PATH,0.008,1,0.32573289902280134
2D-Torus,A2A,SHORTEST_PATH,0.112,105,34.53947368421053
2D-Torus,A2A,SHORTEST_PATH,0.116,9,2.9605263157894735
2D-Torus,A2A,SHORTEST_PATH,0.12,9,2.9605263157894735
2D-Torus,A2A,SHORTEST_PATH,0.124,5,1.644736842105263
2D-Torus,A2A,SHORTEST_PATH,0.128,5,1.644736842105263
2D-Torus,A2A,SHORTEST_PATH,0.132,9,2.9605263157894735
2D-Torus,A2A,SHORTEST_PATH,0.136,9,2.9605263157894735
2D-Torus,A2A,SHORTEST_PATH,0.14,105,34.53947368421053
2D-Torus,A2A,SHORTEST_PATH,0.512,48,15.789473684210526
2D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.0013,4,3.007518796992481
2D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.0017,4,3.007518796992481
2D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.002,43,32.33082706766917
2D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.0023,2,1.5037593984962405
2D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.0027,4,3.007518796992481
2D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.0037,4,3.007518796992481
2D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.004,41,30.82706766917293
2D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.0043,6,4.511278195488721
2D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.0047,6,4.511278195488721
2D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.005,2,1.5037593984962405
2D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.0053,2,1.5037593984962405
2D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.006,1,0.7518796992481203
2D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.0063,4,3.007518796992481
2D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.0067,2,1.5037593984962405
2D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.007,4,3.007518796992481
2D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.0073,2,1.5037593984962405
2D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.011,2,1.5037593984962405
3D-Torus,A2A,SHORTEST_PATH,0.496,428,31.845238095238095
3D-Torus,A2A,SHORTEST_PATH,0.5,32,2.380952380952381
3D-Torus,A2A,SHORTEST_PATH,0.504,24,1.7857142857142856
3D-Torus,A2A,SHORTEST_PATH,0.508,28,2.083333333333333
3D-Torus,A2A,SHORTEST_PATH,0.512,28,2.083333333333333
3D-Torus,A2A,SHORTEST_PATH,0.516,24,1.7857142857142856
3D-Torus,A2A,SHORTEST_PATH,0.52,32,2.380952380952381
3D-Torus,A2A,SHORTEST_PATH,0.524,428,31.845238095238095
3D-Torus,A2A,SHORTEST_PATH,2.048,320,23.809523809523807
3D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.0009,4,0.6191950464396285
3D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.0014,2,0.30959752321981426
3D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.0015,2,0.30959752321981426
3D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.0016,4,0.6191950464396285
3D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.0017,2,0.30959752321981426
3D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.0019,6,0.9287925696594427
3D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.002,154,23.8390092879257
3D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.0021,12,1.8575851393188854
3D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.0022,4,0.6191950464396285
3D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.0023,6,0.9287925696594427
3D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.0024,4,0.6191950464396285
3D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.0025,4,0.6191950464396285
3D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.0026,12,1.8575851393188854
3D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.0027,8,1.238390092879257
3D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.0028,2,0.30959752321981426
3D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.0029,8,1.238390092879257
3D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.003,2,0.30959752321981426
3D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.0031,10,1.5479876160990713
3D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.0032,16,2.476780185758514
3D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.0033,6,0.9287925696594427
3D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.0034,4,0.6191950464396285
3D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.0035,10,1.5479876160990713
3D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.0036,4,0.6191950464396285
3D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.0037,8,1.238390092879257
3D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.0038,10,1.5479876160990713
3D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.0039,6,0.9287925696594427
3D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.004,166,25.696594427244584
3D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.0041,12,1.8575851393188854
3D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.0042,2,0.30959752321981426
3D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.0043,4,0.6191950464396285
3D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.0044,14,2.1671826625387
3D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.0045,10,1.5479876160990713
3D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.0046,8,1.238390092879257
3D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.0047,6,0.9287925696594427
3D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.0048,8,1.238390092879257
3D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.0049,10,1.5479876160990713
3D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.005,8,1.238390092879257
3D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.0051,12,1.8575851393188854
3D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.0052,4,0.6191950464396285
3D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.0053,6,0.9287925696594427
3D-Torus,Sparse 1-to-N,SHORTEST_PATH,0.0054,2,0.30959752321981426
