topology,diameter,average_hops,bisection_bandwidth_gbps,bisection_bandwidth_gbps_per_ssu,a2a_completion_time_s,a2a_completion_time_p50_s,a2a_completion_time_p95_s,a2a_per_ssu_throughput_gbps,a2a_average_hops,a2a_max_link_utilization,a2a_link_utilization_cv,replica_random_completion_time_s,replica_random_completion_time_p50_s,replica_random_completion_time_p95_s,replica_random_per_ssu_throughput_gbps,replica_random_average_hops,replica_random_max_link_utilization,replica_random_link_utilization_cv,replica_topology_aware_completion_time_s,replica_topology_aware_completion_time_p50_s,replica_topology_aware_completion_time_p95_s,replica_topology_aware_per_ssu_throughput_gbps,replica_topology_aware_average_hops,replica_topology_aware_max_link_utilization,replica_topology_aware_link_utilization_cv
2D-FullMesh,4.0,3.5118110236220472,12800.0,200.0,0.01072,0.01072,0.01072,379.1044776119403,3.5118110236220472,0.9552238805970149,0.0,0.00056,0.00016,0.00016,114.28571428571429,3.5859375,0.5000000000000001,0.2945384419483103,0.00016,0.00016,0.00016,399.99999999999994,3.0,0.7499999999999999,0.17677669529663684
2D-FullMesh-2x4,4.0,3.2698412698412698,3200.0,100.0,0.01024,0.0056,0.0056,196.87499999999997,3.2698412698412698,0.9999999999999999,0.3464101615137755,0.00052,0.00016,0.00016,123.07692307692308,3.4296875,1.0000000000000002,0.46978647714648797,0.00032,0.00016,0.00016,199.99999999999997,3.0,0.9999999999999999,0.5863019699779287
2D-Torus,5.0,3.5238095238095237,3200.0,100.0,0.010240000000000023,0.0056,0.0056,196.87499999999955,3.5238095238095237,1.0,0.3333333333333333,0.0004933333333333334,0.00016,0.00016,129.7297297297297,3.765625,1.0,0.3868132943339349,0.00024,0.00016,0.00016,266.66666666666663,3.0,1.0,0.385275875185561
2D-Torus-BestTwist,4.0,3.2698412698412698,6400.0,200.0,0.0064,0.0056,0.0056,315.0,3.2698412698412698,1.0,0.0,0.00048,0.00016,0.00016,133.33333333333331,3.390625,0.7708333333333334,0.24436587832507353,0.00024,0.00016,0.00016,266.66666666666663,3.0,1.0,0.5863019699779287
3D-Torus,7.0,4.509803921568627,12800.0,100.0,0.04096000000000239,0.02096,0.02096,199.21874999998838,4.509803921568627,1.0,0.282842712474619,0.0004826666666666667,0.00016,0.00016,132.5966850828729,4.62890625,1.0,0.33068979656890507,0.00016,0.00016,0.00016,399.99999999999994,3.0,0.9999999999999999,0.3365728004459065
3D-Torus-BestTwist,5.0,4.070588235294117,25600.0,200.0,0.028160000000001358,0.020960000000000225,0.020960000000000454,289.7727272727133,4.070588235294117,1.0,8.900642677043289e-15,0.00048,0.00016,0.00016,133.33333333333331,4.140625,0.826388888888889,0.20961321210160408,0.00016,0.00016,0.00016,399.99999999999994,3.0,0.9999999999999999,0.46770717334674267
3D-Torus-2x4x3,6.0,4.178010471204188,9600.0,100.0,0.030720000000000997,0.01584,0.01584,198.95833333332686,4.178010471204188,1.0,0.28781979898261384,0.00048,0.00016,0.00016,133.33333333333331,4.278645833333333,0.9166666666666669,0.384660995725656,0.00016,0.00016,0.00016,399.99999999999994,3.0,0.9999999999999999,0.33657280044590654
3D-Torus-2x4x3-BestTwist,5.0,3.926701570680628,19200.0,200.0,0.020479999999999648,0.015840000000000066,0.015840000000000264,298.4375000000051,3.926701570680628,1.0,0.030743773095067813,0.00047999999999999985,0.00016,0.00016,133.33333333333337,4.044270833333333,0.7847222222222228,0.2405148169563458,0.00016,0.00016,0.00016,399.99999999999994,3.0,0.9999999999999999,0.4677071733467427
3D-Torus-2x4x2,6.0,4.015748031496063,6400.0,100.0,0.020479999999999964,0.01072,0.01072,198.43750000000037,4.015748031496063,0.9999999999999999,0.35355339059327373,0.00056,0.00016,0.00016,114.28571428571429,4.09375,0.8095238095238094,0.37140144878886944,0.00016,0.00016,0.00016,399.99999999999994,3.0,0.9999999999999999,0.35355339059327373
3D-Torus-2x4x2-BestTwist,4.0,3.5118110236220472,12800.0,200.0,0.012373333333333401,0.010719999999999981,0.010719999999999993,328.44827586206713,3.5118110236220472,1.0,0.17677669529663628,0.00056,0.00016,0.00016,114.28571428571429,3.57421875,0.5238095238095238,0.3672149183478063,0.00016,0.00016,0.00016,399.99999999999994,3.125,0.9999999999999999,0.5773502691896258
3D-Torus-2x4x1,5.0,3.5238095238095237,3200.0,100.0,0.010240000000000023,0.0056,0.0056,196.87499999999955,3.5238095238095237,1.0,0.3333333333333333,0.0004933333333333334,0.00016,0.00016,129.7297297297297,3.765625,1.0,0.3868132943339349,0.00024,0.00016,0.00016,266.66666666666663,3.0,1.0,0.385275875185561
3D-Torus-2x4x1-BestTwist,4.0,3.2698412698412698,6400.0,200.0,0.0064,0.0056,0.0056,315.0,3.2698412698412698,1.0,0.0,0.00048,0.00016,0.00016,133.33333333333331,3.390625,0.7708333333333334,0.24436587832507353,0.00024,0.00016,0.00016,266.66666666666663,3.0,1.0,0.5863019699779287
Clos,4.0,3.902097902097902,28800.0,400.0,0.01144,0.01144,0.01144,400.0,3.902097902097902,0.951048951048951,0.0,0.00048,0.00016,0.00016,133.33333333333331,4.0,0.5833333333333334,0.20359187797595898,0.00032,0.00016,0.00016,199.99999999999997,4.0,0.49999999999999994,0.0
Clos-64,4.0,3.7777777777777777,12800.0,400.0,0.00504,0.00504,0.00504,400.0,3.7777777777777777,0.8888888888888888,0.0,0.00048,0.00016,0.00016,133.33333333333331,4.0,0.4375,0.14149039278339715,0.00032,0.00016,0.00016,199.99999999999997,4.0,0.5312499999999999,0.031249999999999976
Clos-128,4.0,3.8897637795275593,25600.0,400.0,0.01016,0.01016,0.01016,400.0,3.8897637795275593,0.9448818897637794,0.0,0.00056,0.00016,0.00016,114.28571428571429,4.0,0.41071428571428575,0.17258376589355093,0.00024,0.00016,0.00016,266.66666666666663,4.0,0.7083333333333334,0.041339864235384244
Clos-192,4.0,3.926701570680628,38400.0,400.0,0.01528,0.01528,0.01528,400.0,3.926701570680628,0.9633507853403142,0.0,0.00048,0.00016,0.00016,133.33333333333331,4.0,0.5208333333333334,0.17906368164240716,0.00024,0.00016,0.00016,266.66666666666663,4.0,0.7083333333333334,0.03608439182435163
Clos-256,4.0,3.9450980392156865,51200.0,400.0,0.0204,0.0204,0.0204,400.0,3.9450980392156865,0.972549019607843,0.0,0.00048,0.00016,0.00016,133.33333333333331,4.0,0.4583333333333333,0.16275520824999734,0.00024,0.00016,0.00016,266.66666666666663,4.0,0.7083333333333334,0.031250000000000014
Clos-4P-FullMesh,4.0,3.962854349951124,102400.0,200.0,0.15872,0.08184,0.08184,206.25,3.962854349951124,1.0,0.8418733008900517,0.00064,0.00016,0.00016,99.99999999999999,3.97705078125,0.7499999999999999,0.87079850746653,0.00034,0.00016,0.00016,188.23529411764704,3.9755859375,1.0,0.8464040468262974
Clos-4P-Ring,4.0,3.970674486803519,204800.0,400.0,0.08184,0.08184,0.08184,400.0,3.970674486803519,0.9736070381231672,0.4702380952380952,0.00064,0.00016,0.00016,99.99999999999999,3.986328125,0.37499999999999994,0.5062156619759224,0.00024,0.00016,0.00016,266.66666666666663,3.98388671875,0.7083333333333334,0.4772532454995605
DF,5.0,4.332530120481928,33600.0,161.53846153846155,0.06656000000000022,0.03319999999999996,0.033200000000000174,199.51923076923012,4.332530120481928,0.9999999999999999,0.20325657451018483,0.00064,0.00016,0.00016,99.99999999999999,4.3858173076923075,0.7604166666666664,0.34229198184362114,0.00024,0.00016,0.00016,266.66666666666663,3.0,0.5,0.17677669529663692
