topology,workload,routing_mode,hop_count,offered_volume_gb,offered_volume_pct
2D-FullMesh,A2A,SHORTEST_PATH,2,3.584,5.511811023622047
2D-FullMesh,A2A,SHORTEST_PATH,3,24.576,37.79527559055118
2D-FullMesh,A2A,SHORTEST_PATH,4,36.864,56.69291338582677
2D-FullMesh,Sparse 1-to-N,SHORTEST_PATH,2,0.02,7.8125
2D-FullMesh,Sparse 1-to-N,SHORTEST_PATH,3,0.08,31.25
2D-FullMesh,Sparse 1-to-N,SHORTEST_PATH,4,0.156,60.9375
2D-FullMesh-2x4,A2A,SHORTEST_PATH,2,1.792,11.11111111111111
2D-FullMesh-2x4,A2A,SHORTEST_PATH,3,8.192,50.79365079365079
2D-FullMesh-2x4,A2A,SHORTEST_PATH,4,6.144,38.095238095238095
2D-FullMesh-2x4,Sparse 1-to-N,SHORTEST_PATH,2,0.004,3.125
2D-FullMesh-2x4,Sparse 1-to-N,SHORTEST_PATH,3,0.084,65.625
2D-FullMesh-2x4,Sparse 1-to-N,SHORTEST_PATH,4,0.04,31.25
2D-Torus,A2A,SHORTEST_PATH,2,1.792,11.11111111111111
2D-Torus,A2A,SHORTEST_PATH,3,6.144,38.095238095238095
2D-Torus,A2A,SHORTEST_PATH,4,6.144,38.095238095238095
2D-Torus,A2A,SHORTEST_PATH,5,2.048,12.698412698412698
2D-Torus,Sparse 1-to-N,SHORTEST_PATH,2,0.004,3.125
2D-Torus,Sparse 1-to-N,SHORTEST_PATH,3,0.048,37.5
2D-Torus,Sparse 1-to-N,SHORTEST_PATH,4,0.056,43.75
2D-Torus,Sparse 1-to-N,SHORTEST_PATH,5,0.02,15.625
2D-Torus-BestTwist,A2A,SHORTEST_PATH,2,1.792,11.11111111111111
2D-Torus-BestTwist,A2A,SHORTEST_PATH,3,8.192,50.79365079365079
2D-Torus-BestTwist,A2A,SHORTEST_PATH,4,6.144,38.095238095238095
2D-Torus-BestTwist,Sparse 1-to-N,SHORTEST_PATH,2,0.004,3.125
2D-Torus-BestTwist,Sparse 1-to-N,SHORTEST_PATH,3,0.068,53.125
2D-Torus-BestTwist,Sparse 1-to-N,SHORTEST_PATH,4,0.056,43.75
3D-Torus,A2A,SHORTEST_PATH,2,7.168,2.7450980392156863
3D-Torus,A2A,SHORTEST_PATH,3,40.96,15.686274509803921
3D-Torus,A2A,SHORTEST_PATH,4,81.92,31.372549019607842
3D-Torus,A2A,SHORTEST_PATH,5,81.92,31.372549019607842
3D-Torus,A2A,SHORTEST_PATH,6,40.96000000000001,15.686274509803924
3D-Torus,A2A,SHORTEST_PATH,7,8.191999999999998,3.1372549019607843
3D-Torus,Sparse 1-to-N,SHORTEST_PATH,2,0.004,0.78125
3D-Torus,Sparse 1-to-N,SHORTEST_PATH,3,0.084,16.40625
3D-Torus,Sparse 1-to-N,SHORTEST_PATH,4,0.168,32.8125
3D-Torus,Sparse 1-to-N,SHORTEST_PATH,5,0.16,31.25
3D-Torus,Sparse 1-to-N,SHORTEST_PATH,6,0.08400000000000003,16.406250000000007
3D-Torus,Sparse 1-to-N,SHORTEST_PATH,7,0.011999999999999972,2.3437499999999947
3D-Torus-BestTwist,A2A,SHORTEST_PATH,2,7.168,2.7450980392156863
3D-Torus-BestTwist,A2A,SHORTEST_PATH,3,49.152,18.823529411764707
3D-Torus-BestTwist,A2A,SHORTEST_PATH,4,122.88,47.05882352941176
3D-Torus-BestTwist,A2A,SHORTEST_PATH,5,81.91999999998342,31.372549019601493
3D-Torus-BestTwist,Sparse 1-to-N,SHORTEST_PATH,2,0.004,0.78125
3D-Torus-BestTwist,Sparse 1-to-N,SHORTEST_PATH,3,0.096,18.75
3D-Torus-BestTwist,Sparse 1-to-N,SHORTEST_PATH,4,0.252,49.21875
3D-Torus-BestTwist,Sparse 1-to-N,SHORTEST_PATH,5,0.16000000000000006,31.25000000000001
3D-Torus-2x4x3,A2A,SHORTEST_PATH,2,5.376,3.664921465968586
3D-Torus-2x4x3,A2A,SHORTEST_PATH,3,30.72,20.94240837696335
3D-Torus-2x4x3,A2A,SHORTEST_PATH,4,55.296,37.696335078534034
3D-Torus-2x4x3,A2A,SHORTEST_PATH,5,43.008,29.31937172774869
3D-Torus-2x4x3,A2A,SHORTEST_PATH,6,12.288000000000002,8.376963350785342
3D-Torus-2x4x3,Sparse 1-to-N,SHORTEST_PATH,3,0.096,25.0
3D-Torus-2x4x3,Sparse 1-to-N,SHORTEST_PATH,4,0.156,40.625
3D-Torus-2x4x3,Sparse 1-to-N,SHORTEST_PATH,5,0.108,28.125
3D-Torus-2x4x3,Sparse 1-to-N,SHORTEST_PATH,6,0.024000000000000018,6.250000000000004
3D-Torus-2x4x3-BestTwist,A2A,SHORTEST_PATH,2,5.376,3.664921465968586
3D-Torus-2x4x3-BestTwist,A2A,SHORTEST_PATH,3,36.864,25.13089005235602
3D-Torus-2x4x3-BestTwist,A2A,SHORTEST_PATH,4,67.584,46.07329842931937
