topology,workload,routing_mode,hop_count,offered_volume_gb,offered_volume_pct
2D-FullMesh,A2A,SHORTEST_PATH,2,3.584,5.511811023622047
2D-FullMesh,A2A,SHORTEST_PATH,3,24.576,37.79527559055118
2D-FullMesh,A2A,SHORTEST_PATH,4,36.864,56.69291338582677
2D-FullMesh,64 NPUs | Local 1:1 | Direct,SHORTEST_PATH,3,0.256,100.0
2D-FullMesh,64 NPUs | Local 1:1 | Rack Pooling,SHORTEST_PATH,3,0.032,12.5
2D-FullMesh,64 NPUs | Local 1:1 | Rack Pooling,SHORTEST_PATH,5,0.128,50.0
2D-FullMesh,64 NPUs | Local 1:1 | Rack Pooling,SHORTEST_PATH,7,0.096,37.5
2D-FullMesh,64 NPUs | Local 1:1 | Rack Sharding,SHORTEST_PATH,3,0.064,25.0
2D-FullMesh,64 NPUs | Local 1:1 | Rack Sharding,SHORTEST_PATH,4,0.128,50.0
2D-FullMesh,64 NPUs | Local 1:1 | Rack Sharding,SHORTEST_PATH,5,0.064,25.0
2D-FullMesh,64 NPUs | Single-SSU Hotspot | Direct,SHORTEST_PATH,4,0.064,25.0
2D-FullMesh,64 NPUs | Single-SSU Hotspot | Direct,SHORTEST_PATH,5,0.192,75.0
2D-FullMesh,64 NPUs | Single-SSU Hotspot | Rack Pooling,SHORTEST_PATH,4,0.008,3.125
2D-FullMesh,64 NPUs | Single-SSU Hotspot | Rack Pooling,SHORTEST_PATH,5,0.035428571428571476,13.839285714285735
2D-FullMesh,64 NPUs | Single-SSU Hotspot | Rack Pooling,SHORTEST_PATH,6,0.13371428571428515,52.23214285714264
2D-FullMesh,64 NPUs | Single-SSU Hotspot | Rack Pooling,SHORTEST_PATH,7,0.0788571428571427,30.80357142857137
2D-FullMesh,64 NPUs | Single-SSU Hotspot | Rack Sharding,SHORTEST_PATH,4,0.064,25.0
2D-FullMesh,64 NPUs | Single-SSU Hotspot | Rack Sharding,SHORTEST_PATH,5,0.192,75.0
2D-FullMesh,64 NPUs | Rack Target-Set 4 | Direct,SHORTEST_PATH,4,0.064,25.0
2D-FullMesh,64 NPUs | Rack Target-Set 4 | Direct,SHORTEST_PATH,5,0.192,75.0
2D-FullMesh,64 NPUs | Rack Target-Set 4 | Rack Pooling,SHORTEST_PATH,4,0.008,3.125
2D-FullMesh,64 NPUs | Rack Target-Set 4 | Rack Pooling,SHORTEST_PATH,5,0.035428571428571476,13.839285714285735
2D-FullMesh,64 NPUs | Rack Target-Set 4 | Rack Pooling,SHORTEST_PATH,6,0.13371428571428517,52.23214285714264
2D-FullMesh,64 NPUs | Rack Target-Set 4 | Rack Pooling,SHORTEST_PATH,7,0.07885714285714268,30.803571428571363
2D-FullMesh,64 NPUs | Rack Target-Set 4 | Rack Sharding,SHORTEST_PATH,4,0.064,25.0
2D-FullMesh,64 NPUs | Rack Target-Set 4 | Rack Sharding,SHORTEST_PATH,5,0.192,75.0
2D-Torus,A2A,SHORTEST_PATH,2,1.792,11.11111111111111
2D-Torus,A2A,SHORTEST_PATH,3,6.144,38.095238095238095
2D-Torus,A2A,SHORTEST_PATH,4,6.144,38.095238095238095
2D-Torus,A2A,SHORTEST_PATH,5,2.048,12.698412698412698
2D-Torus,64 NPUs | Local 1:1 | Direct,SHORTEST_PATH,3,0.256,100.0
2D-Torus,64 NPUs | Local 1:1 | Rack Pooling,SHORTEST_PATH,3,0.032,12.5
2D-Torus,64 NPUs | Local 1:1 | Rack Pooling,SHORTEST_PATH,5,0.096,37.5
2D-Torus,64 NPUs | Local 1:1 | Rack Pooling,SHORTEST_PATH,7,0.096,37.5
2D-Torus,64 NPUs | Local 1:1 | Rack Pooling,SHORTEST_PATH,9,0.032,12.5
2D-Torus,64 NPUs | Local 1:1 | Rack Sharding,SHORTEST_PATH,3,0.064,25.0
2D-Torus,64 NPUs | Local 1:1 | Rack Sharding,SHORTEST_PATH,4,0.064,25.0
2D-Torus,64 NPUs | Local 1:1 | Rack Sharding,SHORTEST_PATH,5,0.064,25.0
2D-Torus,64 NPUs | Local 1:1 | Rack Sharding,SHORTEST_PATH,6,0.064,25.0
2D-Torus,64 NPUs | Single-SSU Hotspot | Direct,SHORTEST_PATH,3,0.032,12.5
2D-Torus,64 NPUs | Single-SSU Hotspot | Direct,SHORTEST_PATH,4,0.096,37.5
2D-Torus,64 NPUs | Single-SSU Hotspot | Direct,SHORTEST_PATH,5,0.096,37.5
2D-Torus,64 NPUs | Single-SSU Hotspot | Direct,SHORTEST_PATH,6,0.032,12.5
2D-Torus,64 NPUs | Single-SSU Hotspot | Rack Pooling,SHORTEST_PATH,3,0.004,1.5625
2D-Torus,64 NPUs | Single-SSU Hotspot | Rack Pooling,SHORTEST_PATH,4,0.013714285714285703,5.357142857142852
2D-Torus,64 NPUs | Single-SSU Hotspot | Rack Pooling,SHORTEST_PATH,5,0.04613333333333328,18.020833333333314
2D-Torus,64 NPUs | Single-SSU Hotspot | Rack Pooling,SHORTEST_PATH,6,0.08685714285714277,33.928571428571395
