topology,workload,routing_mode,hop_count,offered_volume_gb,offered_volume_pct
Clos,A2A,ECMP,2,4.032,4.895104895104895
Clos,A2A,ECMP,4,78.336,95.1048951048951
Clos,Replica-3 Random,ECMP,4,1.152,100.0
Clos,Replica-3 Topology-Aware,ECMP,4,1.152,100.0
2D-FullMesh,A2A,SHORTEST_PATH,2,3.584,5.511811023622047
2D-FullMesh,A2A,SHORTEST_PATH,3,24.576,37.79527559055118
2D-FullMesh,A2A,SHORTEST_PATH,4,36.864,56.69291338582677
2D-FullMesh,Replica-3 Random,SHORTEST_PATH,3,0.424,41.40625
2D-FullMesh,Replica-3 Random,SHORTEST_PATH,4,0.6,58.59375
2D-FullMesh,Replica-3 Topology-Aware,SHORTEST_PATH,3,1.024,100.0
2D-Torus,A2A,SHORTEST_PATH,2,1.792,11.11111111111111
2D-Torus,A2A,SHORTEST_PATH,3,6.144,38.095238095238095
2D-Torus,A2A,SHORTEST_PATH,4,6.144,38.095238095238095
2D-Torus,A2A,SHORTEST_PATH,5,2.048,12.698412698412698
2D-Torus,Replica-3 Random,SHORTEST_PATH,3,0.216,42.1875
2D-Torus,Replica-3 Random,SHORTEST_PATH,4,0.2,39.0625
2D-Torus,Replica-3 Random,SHORTEST_PATH,5,0.096,18.75
2D-Torus,Replica-3 Topology-Aware,SHORTEST_PATH,3,0.512,100.0
2D-Torus-BestTwist,A2A,SHORTEST_PATH,2,1.792,11.11111111111111
2D-Torus-BestTwist,A2A,SHORTEST_PATH,3,8.192,50.79365079365079
2D-Torus-BestTwist,A2A,SHORTEST_PATH,4,6.144,38.095238095238095
2D-Torus-BestTwist,Replica-3 Random,SHORTEST_PATH,3,0.312,60.9375
2D-Torus-BestTwist,Replica-3 Random,SHORTEST_PATH,4,0.2,39.0625
2D-Torus-BestTwist,Replica-3 Topology-Aware,SHORTEST_PATH,3,0.512,100.0
3D-Torus,A2A,SHORTEST_PATH,2,7.168,2.7450980392156863
3D-Torus,A2A,SHORTEST_PATH,3,40.96,15.686274509803921
3D-Torus,A2A,SHORTEST_PATH,4,81.92,31.372549019607842
3D-Torus,A2A,SHORTEST_PATH,5,81.92,31.372549019607842
3D-Torus,A2A,SHORTEST_PATH,6,40.96000000000001,15.686274509803924
3D-Torus,A2A,SHORTEST_PATH,7,8.191999999999998,3.1372549019607843
3D-Torus,Replica-3 Random,SHORTEST_PATH,3,0.332,16.2109375
3D-Torus,Replica-3 Random,SHORTEST_PATH,4,0.596,29.1015625
3D-Torus,Replica-3 Random,SHORTEST_PATH,5,0.7,34.1796875
3D-Torus,Replica-3 Random,SHORTEST_PATH,6,0.3400000000000001,16.601562500000004
3D-Torus,Replica-3 Random,SHORTEST_PATH,7,0.07999999999999982,3.906249999999991
3D-Torus,Replica-3 Topology-Aware,SHORTEST_PATH,3,2.048,100.0
3D-Torus-BestTwist,A2A,SHORTEST_PATH,2,7.168,2.7450980392156863
3D-Torus-BestTwist,A2A,SHORTEST_PATH,3,49.152,18.823529411764707
3D-Torus-BestTwist,A2A,SHORTEST_PATH,4,122.88,47.05882352941176
3D-Torus-BestTwist,A2A,SHORTEST_PATH,5,81.91999999998342,31.372549019601493
3D-Torus-BestTwist,Replica-3 Random,SHORTEST_PATH,3,0.412,20.1171875
3D-Torus-BestTwist,Replica-3 Random,SHORTEST_PATH,4,0.936,45.703125
3D-Torus-BestTwist,Replica-3 Random,SHORTEST_PATH,5,0.6999999999999867,34.17968749999935
3D-Torus-BestTwist,Replica-3 Topology-Aware,SHORTEST_PATH,3,2.048,100.0
DF,A2A,SHORTEST_PATH,2,11.648,1.6867469879518073
DF,A2A,SHORTEST_PATH,3,79.872,11.566265060240964
DF,A2A,SHORTEST_PATH,4,266.23999999991554,38.55421686745765
DF,A2A,SHORTEST_PATH,5,332.79999999990554,48.19277108432367
DF,Replica-3 Random,SHORTEST_PATH,3,0.42,12.620192307692307
DF,Replica-3 Random,SHORTEST_PATH,4,1.2040000000000008,36.17788461538464
DF,Replica-3 Random,SHORTEST_PATH,5,1.7040000000000035,51.20192307692319
DF,Replica-3 Topology-Aware,SHORTEST_PATH,3,3.328,100.0
