topology,workload,routing_mode,offered_volume_gb,link_count,link_ratio_pct
Clos,A2A,ECMP,0.286,576,66.66666666666666
Clos,A2A,ECMP,0.544,288,33.33333333333333
Clos,Replica-3 Random,ECMP,0.002,80,9.75609756097561
Clos,Replica-3 Random,ECMP,0.0035,8,0.975609756097561
Clos,Replica-3 Random,ECMP,0.004,354,43.170731707317074
Clos,Replica-3 Random,ECMP,0.005,8,0.975609756097561
Clos,Replica-3 Random,ECMP,0.006,60,7.317073170731707
Clos,Replica-3 Random,ECMP,0.0065,16,1.951219512195122
Clos,Replica-3 Random,ECMP,0.007,16,1.951219512195122
Clos,Replica-3 Random,ECMP,0.0075,16,1.951219512195122
Clos,Replica-3 Random,ECMP,0.008,178,21.70731707317073
Clos,Replica-3 Random,ECMP,0.0085,24,2.9268292682926833
Clos,Replica-3 Random,ECMP,0.009,8,0.975609756097561
Clos,Replica-3 Random,ECMP,0.0095,8,0.975609756097561
Clos,Replica-3 Random,ECMP,0.01,16,1.951219512195122
Clos,Replica-3 Random,ECMP,0.0105,8,0.975609756097561
Clos,Replica-3 Random,ECMP,0.011,8,0.975609756097561
Clos,Replica-3 Random,ECMP,0.012,4,0.4878048780487805
Clos,Replica-3 Random,ECMP,0.014,8,0.975609756097561
Clos,Replica-3 Topology-Aware,ECMP,0.002,64,7.766990291262135
Clos,Replica-3 Topology-Aware,ECMP,0.004,368,44.66019417475729
Clos,Replica-3 Topology-Aware,ECMP,0.006,64,7.766990291262135
Clos,Replica-3 Topology-Aware,ECMP,0.008,328,39.80582524271845
2D-FullMesh,A2A,SHORTEST_PATH,0.24,241,34.23295454545455
2D-FullMesh,A2A,SHORTEST_PATH,0.244,7,0.9943181818181818
2D-FullMesh,A2A,SHORTEST_PATH,0.252,8,1.1363636363636365
2D-FullMesh,A2A,SHORTEST_PATH,0.256,8,1.1363636363636365
2D-FullMesh,A2A,SHORTEST_PATH,0.264,7,0.9943181818181818
2D-FullMesh,A2A,SHORTEST_PATH,0.268,241,34.23295454545455
2D-FullMesh,A2A,SHORTEST_PATH,0.512,192,27.27272727272727
2D-FullMesh,Replica-3 Random,SHORTEST_PATH,0.002,66,9.850746268656717
2D-FullMesh,Replica-3 Random,SHORTEST_PATH,0.003,2,0.2985074626865672
2D-FullMesh,Replica-3 Random,SHORTEST_PATH,0.004,330,49.25373134328358
2D-FullMesh,Replica-3 Random,SHORTEST_PATH,0.005,22,3.2835820895522385
2D-FullMesh,Replica-3 Random,SHORTEST_PATH,0.006,72,10.746268656716417
2D-FullMesh,Replica-3 Random,SHORTEST_PATH,0.007,26,3.880597014925373
2D-FullMesh,Replica-3 Random,SHORTEST_PATH,0.008,46,6.865671641791045
2D-FullMesh,Replica-3 Random,SHORTEST_PATH,0.009,30,4.477611940298507
2D-FullMesh,Replica-3 Random,SHORTEST_PATH,0.01,36,5.3731343283582085
2D-FullMesh,Replica-3 Random,SHORTEST_PATH,0.011,12,1.791044776119403
2D-FullMesh,Replica-3 Random,SHORTEST_PATH,0.012,14,2.0895522388059704
2D-FullMesh,Replica-3 Random,SHORTEST_PATH,0.013,4,0.5970149253731344
2D-FullMesh,Replica-3 Random,SHORTEST_PATH,0.014,10,1.4925373134328357
