rank,topology,candidate_label,wrap_offsets,is_baseline,a2a_completion_time_s,a2a_per_ssu_throughput_gbps,a2a_average_hops,a2a_max_link_utilization,a2a_link_utilization_cv
1,3D-Torus,"axis0=[0, 2, 2] | axis1=[0, 0, 0] | axis2=[0, 0, 0]","[[0, 2, 2], [0, 0, 0], [0, 0, 0]]",False,0.028160000000001087,289.77272727271605,4.070588235294117,1.0,1.3751957987921884e-14
2,3D-Torus,"axis0=[0, 2, 2] | axis1=[1, 0, 0] | axis2=[1, 0, 0]","[[0, 2, 2], [1, 0, 0], [1, 0, 0]]",False,0.028472888888889474,286.5884115884057,3.9450980392156865,1.0,0.04242460138998045
3,3D-Torus,"axis0=[0, 2, 2] | axis1=[0, 0, 0] | axis2=[1, 0, 0]","[[0, 2, 2], [0, 0, 0], [1, 0, 0]]",False,0.03281066666666754,248.69960988295824,4.007843137254902,1.0,0.08597234668082676
4,3D-Torus,"axis0=[0, 2, 2] | axis1=[1, 0, 0] | axis2=[0, 0, 0]","[[0, 2, 2], [1, 0, 0], [0, 0, 0]]",False,0.03281066666666762,248.69960988295767,4.007843137254902,1.0,0.08597234668082684
5,3D-Torus,"axis0=[0, 2, 2] | axis1=[0, 0, 2] | axis2=[1, 0, 0]","[[0, 2, 2], [0, 0, 2], [1, 0, 0]]",False,0.03409177489177572,239.35392117025017,4.007843137254902,1.0,0.14097141837434485
6,3D-Torus,"axis0=[0, 2, 2] | axis1=[1, 0, 0] | axis2=[0, 2, 0]","[[0, 2, 2], [1, 0, 0], [0, 2, 0]]",False,0.03409177489177572,239.35392117025017,4.007843137254902,1.0,0.14097141837434504
7,3D-Torus,"axis0=[0, 0, 2] | axis1=[1, 0, 2] | axis2=[0, 2, 0]","[[0, 0, 2], [1, 0, 2], [0, 2, 0]]",False,0.0340962077922083,239.3228023987093,4.031372549019608,1.0,0.13286958156613055
8,3D-Torus,"axis0=[0, 2, 0] | axis1=[0, 0, 2] | axis2=[1, 2, 0]","[[0, 2, 0], [0, 0, 2], [1, 2, 0]]",False,0.03409620779220836,239.32280239870892,4.031372549019608,1.0,0.13286958156612985
9,3D-Torus,"axis0=[0, 0, 2] | axis1=[0, 0, 2] | axis2=[1, 2, 0]","[[0, 0, 2], [0, 0, 2], [1, 2, 0]]",False,0.03481600000000012,234.3749999999992,4.031372549019608,0.9999999999999999,0.13678251847957903
10,3D-Torus,"axis0=[0, 2, 0] | axis1=[1, 0, 2] | axis2=[0, 2, 0]","[[0, 2, 0], [1, 0, 2], [0, 2, 0]]",False,0.03481600000000015,234.37499999999895,4.031372549019608,1.0,0.13678251847957937
